KrS,Landkreis,Einwohner
07131,LK Ahrweiler,130086
09771,LK Aichach-Friedberg,134655
08425,LK Alb-Donau-Kreis,197076
16077,LK Altenburger Land,89393
07132,LK Altenkirchen,128805
15081,LK Altmarkkreis Salzwedel,83173
09171,LK Altötting,111516
07331,LK Alzey-Worms,129687
09371,LK Amberg-Sulzbach,103049
03451,LK Ammerland,124859
15082,LK Anhalt-Bitterfeld,158486
09571,LK Ansbach,184591
09671,LK Aschaffenburg,174200
09772,LK Augsburg,253468
03452,LK Aurich,189694
07332,LK Bad Dürkheim,132671
09672,LK Bad Kissingen,103235
07133,LK Bad Kreuznach,158345
09173,LK Bad Tölz-Wolfratshausen,127917
09471,LK Bamberg,147163
12060,LK Barnim,185244
14625,LK Bautzen,299758
09472,LK Bayreuth,103664
09172,LK Berchtesgadener Land,105929
06431,LK Bergstraße,270340
07231,LK Bernkastel-Wittlich,112483
08426,LK Biberach,201282
07134,LK Birkenfeld,80951
07232,LK Bitburg-Prüm,99058
08115,LK Böblingen,392807
08435,LK Bodenseekreis,217470
15083,LK Börde,170923
05554,LK Borken,371339
08315,LK Breisgau-Hochschwarzwald,263601
15084,LK Burgenlandkreis,178846
08235,LK Calw,159201
03351,LK Celle,179011
09372,LK Cham,127998
03453,LK Cloppenburg,170682
09473,LK Coburg,86747
07135,LK Cochem-Zell,61375
05558,LK Coesfeld,220586
03352,LK Cuxhaven,198038
09174,LK Dachau,154899
12061,LK Dahme-Spreewald,170791
06432,LK Darmstadt-Dieburg,297844
09271,LK Deggendorf,119478
03251,LK Diepholz,217089
09773,LK Dillingen a.d.Donau,96562
09279,LK Dingolfing-Landau,96683
01051,LK Dithmarschen,133193
09779,LK Donau-Ries,133783
07333,LK Donnersbergkreis,75325
05358,LK Düren,264638
09175,LK Ebersberg,143649
16061,LK Eichsfeld,100006
09176,LK Eichstätt,132881
12062,LK Elbe-Elster,101827
08316,LK Emmendingen,166408
03454,LK Emsland,326954
05954,LK Ennepe-Ruhr-Kreis,324106
08236,LK Enzkreis,199556
09177,LK Erding,138182
09572,LK Erlangen-Höchstadt,137262
14521,LK Erzgebirgskreis,334948
08116,LK Esslingen,535024
05366,LK Euskirchen,193656
09474,LK Forchheim,116203
09178,LK Freising,180007
08237,LK Freudenstadt,118243
09272,LK Freyung-Grafenau,78362
03455,LK Friesland,98704
06631,LK Fulda,223145
09179,LK Fürstenfeldbruck,219311
09573,LK Fürth,117853
09180,LK Garmisch-Partenkirchen,88424
07334,LK Germersheim,129013
06531,LK Gießen,270688
03151,LK Gifhorn,176523
08117,LK Göppingen,258145
14626,LK Görlitz,252725
03153,LK Goslar,136292
16067,LK Gotha,134908
03159,LK Göttingen,326041
03456,LK Grafschaft Bentheim,137162
16076,LK Greiz,97398
06433,LK Groß-Gerau,275726
09774,LK Günzburg,127027
05754,LK Gütersloh,364938
03252,LK Hameln-Pyrmont,148549
03353,LK Harburg,254431
15085,LK Harz,213310
09674,LK Haßberge,84384
12063,LK Havelland,162996
03358,LK Heidekreis,140673
08135,LK Heidenheim,132777
08125,LK Heilbronn,344456
05370,LK Heinsberg,255555
03154,LK Helmstedt,91297
05758,LK Herford,250578
06632,LK Hersfeld-Rotenburg,120719
01053,LK Herzogtum Lauenburg,198019
16069,LK Hildburghausen,63197
03254,LK Hildesheim,275817
05958,LK Hochsauerlandkreis,259777
06434,LK Hochtaunuskreis,236914
09475,LK Hof,94801
08126,LK Hohenlohekreis,112655
03255,LK Holzminden,70458
05762,LK Höxter,140251
16070,LK Ilm-Kreis,106249
15086,LK Jerichower Land,89589
07335,LK Kaiserslautern,105979
08215,LK Karlsruhe,445101
06633,LK Kassel,236764
09273,LK Kelheim,123058
09675,LK Kitzingen,91155
05154,LK Kleve,312465
08335,LK Konstanz,286305
09476,LK Kronach,66743
09477,LK Kulmbach,71566
07336,LK Kusel,70219
16065,LK Kyffhäuserkreis,74212
06532,LK Lahn-Dill-Kreis,253319
09181,LK Landsberg a.Lech,120302
09274,LK Landshut,159895
03457,LK Leer,170756
14729,LK Leipzig,258139
09478,LK Lichtenfels,66776
06533,LK Limburg-Weilburg,171912
09776,LK Lindau,81981
05766,LK Lippe,347514
08336,LK Lörrach,228736
03354,LK Lüchow-Dannenberg,48412
08118,LK Ludwigsburg,545423
13076,LK Ludwigslust-Parchim,211779
03355,LK Lüneburg,184139
06435,LK Main-Kinzig-Kreis,420552
09677,LK Main-Spessart,126158
08128,LK Main-Tauber-Kreis,132399
